 #M_ecl   m_max
   270.268463       27.5422840    
   275.477661       28.1838245    
   280.787231       28.1838245    
   286.199188       28.8403091    
   291.715424       28.8403091    
   297.337982       29.5120869    
   303.069092       29.5120869    
   308.910492       30.1995106    
   314.864471       30.1995106    
   320.933197       30.9029465    
   327.118927       30.9029465    
   333.423859       31.6227684    
   339.850311       31.6227684    
   346.400635       32.3593559    
   353.077209       32.3593559    
   359.882660       33.1131020    
   366.819092       33.1131020    
   373.889221       33.8844032    
   381.095612       34.6736717    
   388.440887       34.6736717    
   395.927765       35.4813271    
   403.558929       36.3077888    
   411.337189       36.3077888    
   419.265350       37.1535072    
   427.346344       38.0189209    
   435.583313       38.0189209    
   443.978790       38.9044952    
   452.536102       39.8106956    
   461.258362       39.8106956    
   470.148712       40.7380295    
   479.210419       41.6869392    
   488.446808       41.6869392    
   497.861176       42.6579514    
   507.457306       42.6579514    
   517.238098       43.6515808    
   527.207458       44.6683578    
   537.368896       44.6683578    
   547.726257       45.7088165    
   558.283203       46.7735100    
   569.043579       46.7735100    
   580.011414       47.8630028    
   591.190674       47.8630028    
   602.585327       48.9778748    
   614.200012       50.1187134    
   626.038208       50.1187134    
   638.104553       51.2861290    
   650.403442       51.2861290    
   662.939392       52.4807358    
   675.716980       53.7031670    
   688.740845       53.7031670    
   702.015747       54.9540749    
   715.546509       54.9540749    
   729.338440       56.2341156    
   743.395813       57.5439758    
   757.724121       57.5439758    
   772.328613       58.8843460    
   787.214600       58.8843460    
   802.387451       60.2559395    
   817.852783       60.2559395    
   833.616211       61.6594772    
   849.683411       63.0957108    
   866.060364       63.0957108    
   882.753418       64.5653992    
   899.767700       64.5653992    
   917.109985       66.0693130    
   934.786499       66.0693130    
   952.803711       67.6082687    
   971.168152       67.6082687    
   989.886597       69.1830673    
   1008.96582       69.1830673    
   1028.41272       70.7945404    
   1048.23450       70.7945404    
   1068.43896       72.4435577    
   1089.03223       72.4435577    
   1110.02234       74.1310272    
   1131.41711       74.1310272    
   1153.22412       75.8577576    
   1175.45154       75.8577576    
   1198.10742       77.6247101    
   1221.19983       77.6247101    
   1244.73743       79.4328156    
   1268.72864       79.4328156    
   1293.18311       81.2830429    
   1318.10803       81.2830429    
   1343.51343       83.1763687    
   1369.40857       83.1763687    
   1395.80273       85.1137924    
   1422.70557       85.1137924    
   1450.12695       85.1137924    
   1478.07690       87.0963440    
   1506.56567       87.0963440    
   1535.60339       89.1250763    
   1565.20166       89.1250763    
   1595.36963       91.2010651    
   1626.11902       91.2010651    
   1657.46106       91.2010651    
   1689.40710       93.3254089    
   1721.96899       93.3254089    
   1755.15845       93.3254089    
   1788.98767       95.4992371    
   1823.46887       95.4992371    
   1858.61462       97.7236938    
   1894.43884       97.7236938    
   1930.95264       97.7236938    
   1968.17004       99.9999695    
   2006.10486       99.9999695    
   2044.77075       99.9999695    
   2084.18188       102.329239    
   2124.35278       102.329239    
   2165.29785       102.329239    
   2207.03223       104.712852    
   2249.57080       104.712852    
   2292.93066       104.712852    
   2337.12476       107.151863    
   2382.17090       107.151863    
   2428.08521       107.151863    
   2474.88452       109.647812    
   2522.58569       109.647812    
   2571.20630       109.647812    
   2620.76416       109.647812    
   2671.27710       112.201775    
   2722.76514       112.201775    
   2775.24414       112.201775    
   2828.73462       112.201775    
   2883.25610       114.815346    
   2938.82837       114.815346    
   2995.47168       114.815346    
   3053.20679       114.815346    
   3112.05493       117.489670    
   3172.03711       117.489670    
   3233.17529       117.489670    
   3295.49365       117.489670    
   3359.01147       120.226425    
   3423.75366       120.226425    
   3489.74365       120.226425    
   3557.00537       120.226425    
   3625.56348       120.226425    
   3695.44312       123.026787    
   3766.66968       123.026787    
   3839.26904       123.026787    
   3913.26758       123.026787    
   3988.69458       123.026787    
   4065.57324       125.892517    
   4143.93359       125.892517    
   4223.80469       125.892517    
   4305.21484       125.892517    
   4388.19385       125.892517    
   4472.77295       128.824860    
   4558.98145       128.824860    
   4646.85205       128.824860    
   4736.41602       128.824860    
   4827.70898       128.824860    
   4920.75928       128.824860    
   5015.60254       128.824860    
   5112.27393       131.825638    
   5210.80859       131.825638    
   5311.24219       131.825638    
   5413.61182       131.825638    
   5517.95459       131.825638    
   5624.30859       131.825638    
   5732.71240       131.825638    
   5843.20850       134.896317    
   5955.83154       134.896317    
   6070.62500       134.896317    
   6187.63086       134.896317    
   6306.89209       134.896317    
   6428.45215       134.896317    
   6552.35498       134.896317    
