 #M_ecl   m_max
   13554.4375       131.825638    
   13742.3965       131.825638    
   13932.9619       131.825638    
   14126.1699       131.825638    
   14322.0566       131.825638    
   14520.6602       134.896317    
   14722.0332       134.896317    
   14926.1826       134.896317    
   15133.1641       134.896317    
   15343.0146       134.896317    
   15555.7754       134.896317    
   15771.4873       134.896317    
   15990.1895       134.896317    
   16211.9248       134.896317    
   16436.7520       134.896317    
   16664.6797       134.896317    
   16895.7695       138.038391    
   17130.0625       138.038391    
   17367.6035       138.038391    
   17608.4395       138.038391    
   17852.6152       138.038391    
   18100.1953       138.038391    
   18351.1914       138.038391    
   18605.6660       138.038391    
   18863.6699       138.038391    
   19125.2520       138.038391    
   19390.4609       138.038391    
   19659.3477       138.038391    
   19931.9629       138.038391    
   20208.3809       138.038391    
   20488.6094       141.253784    
   20772.7227       141.253784    
   21060.7773       141.253784    
   21352.8262       141.253784    
   21648.9258       141.253784    
   21949.1309       141.253784    
   22253.4980       141.253784    
   22562.1113       141.253784    
   22874.9785       141.253784    
   23192.1855       141.253784    
   23513.7891       141.253784    
   23839.8555       141.253784    
   24170.4414       141.253784    
   24505.6113       141.253784    
   24845.4570       141.253784    
   25189.9883       141.253784    
   25539.2949       141.253784    
   25893.4473       141.253784    
   26252.5117       144.543930    
   26616.5547       144.543930    
   26985.6445       144.543930    
   27359.8535       144.543930    
   27739.2812       144.543930    
   28123.9414       144.543930    
   28513.9336       144.543930    
   28909.3359       144.543930    
   29310.2207       144.543930    
   29716.6641       144.543930    
   30128.7441       144.543930    
   30546.5371       144.543930    
   30970.1582       144.543930    
   31399.6211       144.543930    
   31835.0371       144.543930    
   32276.4922       144.543930    
   32724.0703       144.543930    
   33177.8516       144.543930    
   33637.9297       144.543930    
   34104.4219       144.543930    
   34577.3477       144.543930    
   35056.8281       144.543930    
   35542.9609       144.543930    
   36035.8320       144.543930    
   36535.5391       144.543930    
   37042.1758       144.543930    
   37555.8398       147.910858    
   38076.6641       147.910858    
   38604.6719       147.910858    
   39140.0039       147.910858    
   39682.7539       147.910858    
   40233.0352       147.910858    
   40790.9453       147.910858    
   41356.5898       147.910858    
   41930.0820       147.910858    
   42511.5703       147.910858    
   43101.0742       147.910858    
   43698.7578       147.910858    
   44304.7266       147.910858    
   44919.0977       147.910858    
   45541.9883       147.910858    
   46173.5156       147.910858    
   46813.8008       147.910858    
   47463.0195       147.910858    
   48121.1875       147.910858    
   48788.4805       147.910858    
   49465.0273       147.910858    
   50150.9570       147.910858    
   50846.3984       147.910858    
   51551.4844       147.910858    
   52266.3477       147.910858    
   52991.1211       147.910858    
   53726.0039       147.910858    
   54471.0234       147.910858    
   55226.3711       147.910858    
   55992.1914       147.910858    
   56768.6328       147.910858    
   57555.8398       147.910858    
   58353.9648       147.910858    
   59163.1562       147.910858    
   59983.6367       147.910858    
   60815.4258       147.910858    
   61658.7500       147.910858    
   62513.7695       147.910858    
   63380.6445       147.910858    
   64259.5430       147.910858    
   65150.6250       147.910858    
   66054.0703       147.910858    
   66970.1094       147.910858    
   67898.7812       147.910858    
   68840.3281       147.910858    
   69794.9375       147.910858    
   70762.7812       147.910858    
   71744.0469       147.910858    
   72738.9141       147.910858    
   73747.6641       147.910858    
   74770.3203       147.910858    
   75807.1562       147.910858    
   76858.3672       147.910858    
   77924.1641       150.000000    
   79004.7344       150.000000    
   80100.2891       150.000000    
   81211.0312       150.000000    
   82337.2734       150.000000    
   83479.0391       150.000000    
   84636.6406       150.000000    
   85810.2969       150.000000    
   87000.2188       150.000000    
   88206.6484       150.000000    
   89429.8047       150.000000    
   90669.9297       150.000000    
   91927.3438       150.000000    
   93202.0938       150.000000    
   94494.5234       150.000000    
   95804.8750       150.000000    
   97133.3984       150.000000    
   98480.3438       150.000000    
   99845.9688       150.000000    
   101230.633       150.000000    
   102634.398       150.000000    
   104057.625       150.000000    
   105500.586       150.000000    
   106963.555       150.000000    
   108446.820       150.000000    
   109950.641       150.000000    
   111475.328       150.000000    
   113021.273       150.000000    
   114588.531       150.000000    
   116177.523       150.000000    
   117788.555       150.000000    
   119421.922       150.000000    
   121077.945       150.000000    
   122756.922       150.000000    
   124459.188       150.000000    
   126185.195       150.000000    
   127935.000       150.000000    
   129709.070       150.000000    
   131507.734       150.000000    
   133331.359       150.000000    
   135180.250       150.000000    
   137054.797       150.000000    
   138955.484       150.000000    
   140882.359       150.000000    
   142835.969       150.000000    
   144816.672       150.000000    
   146824.844       150.000000    
   148860.859       150.000000    
   150925.109       150.000000    
   153017.969       150.000000    
   155140.031       150.000000    
   157291.359       150.000000    
   159472.516       150.000000    
   161683.906       150.000000    
   163925.969       150.000000    
   166199.125       150.000000    
   168503.797       150.000000    
   170840.438       150.000000    
   173209.672       150.000000    
